Genus_Species,Diet Breakdown Sheet Species,Synonyms,Genus_Species_Isler,Order,Suborder,Infraorder,Parvorder,Superfamily,Family,Subfamily,Species.group,High.Quality.,Subspecies,Data.quality..ok.if._.4.individuals..at.least.2m.and.2f.in.anthropoids.,Calculation.of.ECV.species.mean,Source.of.ECV,Source.of.body.mass,ECV.male.mean,ECV.female.mean,ECV.species.mean,N.ECV.male,N.ECV.female,N.ECV.species,Body.mass.male.mean,Body.mass.female.mean,Body.mass.species.mean,N.body.mass.male,N.body.mass.female,N.body.mass.species,N_Var_Total,N_Var_Male,N_Var_Female,Sp_Var_ln_ECV,M_Var_ln_ECV,F_Var_ln_ECV,Sp_Var_ln_BoM,M_Var_ln_BoM,F_Var_ln_BoM,predict.sp.ECV,predict.sp.BoM,predict.M.ECV,predict.M.BoM,predict.F.ECV,predict.F.BoM,true.sp.ECV,true.sp.BoM,true.M.ECV,true.M.BoM,true.F.ECV,true.F.BoM,H_Ni.sp,H_Ni.M,H_Ni.F,K.sp.ECV,K.sp.BoM,K.M.ECV,K.M.BoM,K.F.ECV,K.sp.BoM.1,avg_s2.sp.ECV,avg_s2.sp.BoM,avg_s2.M.ECV,avg_s2.M.BoM,avg_s2.F.ECV,avg_s2.F.BoM,var_s2.sp.ECV,var_s2.sp.BoM,var_s2.M.ECV,var_s2.M.BoM,var_s2.F.ECV,var_s2.F.BoM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ateles_fusciceps,Ateles_fusciceps,,Ateles_fusciceps,Primates,Haplorrhini,Simiiformes,Platyrrhini,NA,Atelidae,Atelinae,Ateles fusciceps group,N,NA,ok,m/f,This study,Smith and Jungers 1997,119.74,108.74,114.24,3,6,9,8890,9160,9025,6,11,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ateles_geoffroyi,Ateles_geoffroyi,,Ateles_geoffroyi,Primates,Haplorrhini,Simiiformes,Platyrrhini,NA,Atelidae,Atelinae,Ateles geoffroyi group,Y,NA,ok,m/f,This study,Smith and Jungers 1997,100.59,109.59,105.09,10,10,20,7780,7290,7535,25,63,88,16,8,8,0.003662685,0.008545991,0.006104751,0.015909823,0.04395689,0.019682401,0.003575668,0.017218997,0.007321135,0.044815023,0.006841642,0.025708169,2.01E-06,0.00020001,2.30E-06,0.001,7.00E-06,0.0010001,10.35112462,4.118399635,3.602634285,0.515991468,0.708768088,0.131384388,0.530602837,0.296421694,0.708768088,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,3.57E-06,0.000315242,1.84E-05,0.001877564,2.63E-05,0.002137126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ateles_hybridus,Ateles_hybridus,,Ateles_hybridus,Primates,Haplorrhini,Simiiformes,Platyrrhini,NA,Atelidae,Atelinae,Ateles belzebuth group,N,NA,ok,m/f,This study,"This study, same specimens as ECV measurements",100.57,105.54,103.05,4,4,8,8165,7560,7862,4,3,7,7,4,3,0.001514067,0.005724261,0.000332006,0.005070154,0.011583572,0.008697042,0.002894318,0.01284069,0.007049931,0.034623345,0.006419347,0.026968278,2.01E-06,0.00020001,2.30E-06,0.001,7.00E-06,0.0010001,10.35112462,4.118399635,3.602634285,0.298949966,0.493279841,0.06087813,0.326351528,0.107440203,0.493279841,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,3.57E-06,0.000315242,1.84E-05,0.001877564,2.63E-05,0.002137126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ateles_paniscus,Ateles_paniscus,,Ateles_paniscus,Primates,Haplorrhini,Simiiformes,Platyrrhini,NA,Atelidae,Atelinae,Ateles paniscus group,N,NA,ok,m/f,Bronson 1981 (fresh brain mass),Gordon 2006 (body mass matching ECV only 5 kg),106.5,101.2,103.85,6,17,23,8490,8070,8280,25,49,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brachyteles_sp.,Brachyteles_sp.,,Brachyteles_sp.,Primates,Haplorrhini,Simiiformes,Platyrrhini,NA,Atelidae,Atelinae,NA,N,NA,ok,m/f,Pooled (this study and Hershkovitz 1970),Smith and Jungers 1997,117.5,115.94,116.72,2,4,6,9610,8070,8840,4,3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lagothrix_cana,Lagothrix_cana,,Lagothrix_cana,Primates,Haplorrhini,Simiiformes,Platyrrhini,NA,Atelidae,Atelinae,NA,Y,NA,ok,m/f,This study,Smith and Jungers 1997,103.33,95.36,99.34,7,8,15,9270,7160,8215,4,3,7,2,1,1,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lagothrix_lagotricha,Lagothrix_lagotricha,,Lagothrix_lagotricha,Primates,Haplorrhini,Simiiformes,Platyrrhini,NA,Atelidae,Atelinae,NA,N,NA,ok,m/f,Hershkovitz 1970,Smith and Jungers 1997,95,98,96.5,6,3,9,7280,7020,7150,16,9,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Callimico_goeldii,Callimico_goeldii,,Callimico_goeldii,Primates,Haplorrhini,Simiiformes,Platyrrhini,NA,Cebidae,Callitrichinae,NA,Y,NA,ok,m/f,This study,Smith and Jungers 1997 (captive),10.96,11.9,11.43,5,5,10,499,468,484,6,7,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Callithrix_argentata,Callithrix_argentata,Mico argentatus ,Callithrix_argentata,Primates,Haplorrhini,Simiiformes,Platyrrhini,NA,Cebidae,Callitrichinae,Subgenus Mico,Y,NA,ok,m/f,This study,Smith and Jungers 1997,7.54,8.36,7.95,6,5,11,330,360,345,8,10,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Callithrix_jacchus,Callithrix_jacchus,,Callithrix_jacchus,Primates,Haplorrhini,Simiiformes,Platyrrhini,NA,Cebidae,Callitrichinae,Subgenus Callithrix,N,NA,ok,m/f,This study,Araujo et al. 2000,7.43,7.05,7.24,3,4,7,318,322,320,30,50,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Callithrix_penicillata,Callithrix_penicillata,,Callithrix_penicillata,Primates,Haplorrhini,Simiiformes,Platyrrhini,NA,Cebidae,Callitrichinae,Subgenus Callithrix,N,NA,ok,m/f,This study,"This study, same specimens as ECV measurements",7.25,7.38,7.32,18,14,32,344,312,328,8,7,15,15,8,7,0.005324596,0.010183199,0.011115184,0.020899833,0.041002535,0.042596796,0.004401444,0.020748611,0.007536239,0.043247434,0.008203547,0.039414013,2.01E-06,0.00020001,2.30E-06,0.001,7.00E-06,0.0010001,10.35112462,4.118399635,3.602634285,0.498748708,0.694324555,0.131384388,0.530602837,0.265310567,0.694324555,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,3.57E-06,0.000315242,1.84E-05,0.001877564,2.63E-05,0.002137126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Callithrix_pygmaea,Callithrix_pygmaea,Cebuella pygmaea,Callithrix_pygmaea,Primates,Haplorrhini,Simiiformes,Platyrrhini,NA,Cebidae,Callitrichinae,Subgenus Cebuella,N,NA,ok,m/f,This study,Smith and Jungers 1997,4.02,4.33,4.17,3,8,11,110,122,116,36,27,63,1,0,1,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cebus_albifrons,Cebus_albifrons,,Cebus_albifrons,Primates,Haplorrhini,Simiiformes,Platyrrhini,NA,Cebidae,Cebinae,Cebus capucinus group,N,NA,ok,m/f,This study,Gordon 2006,67.67,63.24,65.45,18,14,32,3180,2290,2735,26,18,44,16,9,7,0.003995565,0.005851434,0.010130828,0.009834794,0.035367257,0.003971918,0.003747431,0.01291321,0.006946558,0.039912786,0.007942387,0.017281111,2.01E-06,0.00020001,2.30E-06,0.001,7.00E-06,0.0010001,10.35112462,4.118399635,3.602634285,0.515991468,0.708768088,0.147387246,0.563676346,0.265310567,0.708768088,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,3.57E-06,0.000315242,1.84E-05,0.001877564,2.63E-05,0.002137126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cebus_apella,Cebus_apella,,Cebus_apella,Primates,Haplorrhini,Simiiformes,Platyrrhini,NA,Cebidae,Cebinae,Cebus apella group,N,NA,ok,m/f,This study,"This study, same specimens as ECV measurements",68.94,64.32,66.63,22,26,48,3383,2489,2936,18,23,41,41,18,23,0.003473131,0.005075313,0.008817212,0.022805688,0.043214469,0.048008285,0.003475674,0.022485178,0.006582294,0.043900829,0.008100758,0.045834679,2.01E-06,0.00020001,2.30E-06,0.001,7.00E-06,0.0010001,10.35112462,4.118399635,3.602634285,0.739778369,0.866485783,0.268652458,0.732994265,0.569726705,0.866485783,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,3.57E-06,0.000315242,1.84E-05,0.001877564,2.63E-05,0.002137126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cebus_capucinus,Cebus_capucinus,,Cebus_capucinus,Primates,Haplorrhini,Simiiformes,Platyrrhini,NA,Cebidae,Cebinae,Cebus capucinus group,N,NA,ok,m/f,This study,"This study, same specimens as ECV measurements",73.73,72.12,72.93,19,9,28,3286,2437,2861,17,6,23,23,17,6,0.002779565,0.004809702,0.006308559,0.039707419,0.131319581,0.027510097,0.003053922,0.035483177,0.006538253,0.107452276,0.006956971,0.031113062,2.01E-06,0.00020001,2.30E-06,0.001,7.00E-06,0.0010001,10.35112462,4.118399635,3.602634285,0.60992095,0.781153436,0.256909333,0.720962938,0.231320781,0.781153436,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,3.57E-06,0.000315242,1.84E-05,0.001877564,2.63E-05,0.002137126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cebus_libidinosus,Cebus_libidinosus,Sapajus libidinosus,Cebus_libidinosus,Primates,Haplorrhini,Simiiformes,Platyrrhini,NA,Cebidae,Cebinae,Cebus apella group,N,NA,ok,m/f,This study,"This study, same specimens as ECV measurements",66.28,63.1,64.69,19,28,47,2910,2110,2510,19,28,47,47,19,28,0.00336756,0.006155813,0.007314425,0.032160749,0.090399316,0.038243681,0.003394576,0.030771739,0.006861422,0.078979445,0.007252587,0.037802956,2.01E-06,0.00020001,2.30E-06,0.001,7.00E-06,0.0010001,10.35112462,4.118399635,3.602634285,0.765770101,0.881842988,0.280030203,0.744030962,0.619052997,0.881842988,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,3.57E-06,0.000315242,1.84E-05,0.001877564,2.63E-05,0.002137126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cebus_nigritus,Cebus_nigritus,Sapajus nigritus ,Cebus_nigritus,Primates,Haplorrhini,Simiiformes,Platyrrhini,NA,Cebidae,Cebinae,Cebus apella group,Y,NA,ok,m/f,This study,"This study, same specimens as ECV measurements",70.06,64.07,67.07,42,45,87,3247,2215,2731,42,45,87,87,42,45,0.003955197,0.00627339,0.0095474,0.019833333,0.040328936,0.039004396,0.003888791,0.019871572,0.00673071,0.04104488,0.008890831,0.03864792,2.01E-06,0.00020001,2.30E-06,0.001,7.00E-06,0.0010001,10.35112462,4.118399635,3.602634285,0.85939629,0.933124476,0.469759083,0.86878135,0.725892862,0.933124476,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,3.57E-06,0.000315242,1.84E-05,0.001877564,2.63E-05,0.002137126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cebus_olivaceus,Cebus_olivaceus,,Cebus_olivaceus,Primates,Haplorrhini,Simiiformes,Platyrrhini,NA,Cebidae,Cebinae,Cebus capucinus group,N,NA,ok,m/f,This study,"This study, same specimens as ECV measurements",71.29,68.38,69.84,10,4,14,3229,2633,2931,10,4,14,14,10,4,0.008139708,0.012205249,0.020353585,0.091075432,0.079316927,0.2849848,0.005719249,0.068345995,0.007961219,0.065649198,0.009171189,0.135474067,2.01E-06,0.00020001,2.30E-06,0.001,7.00E-06,0.0010001,10.35112462,4.118399635,3.602634285,0.480232022,0.678373619,0.162811116,0.592395942,0.152944131,0.678373619,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,3.57E-06,0.000315242,1.84E-05,0.001877564,2.63E-05,0.002137126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
